Name,Price
Bitcoin,"$85,464.29"
Ethereum,"$1,628.96"
Tether,$0.9999
XRP,$2.15
BNB,$588.81
Solana,$132.46
USDC,$0.9999
Dogecoin,$0.1593
TRON,$0.2476
Cardano,$0.6393
UNUS SED LEO,$9.42
Avalanche,$19.90
Chainlink,$12.58
Stellar,$0.2416
Toncoin,$2.96
Sui,$2.18
Shiba Inu,$0.00001192
Hedera,$0.1652
Bitcoin Cash,$330.52
Litecoin,$77.31
Polkadot,$3.65
Hyperliquid,$16.15
Dai,$0.9999
Bitget Token,$4.32
Ethena USDe,$0.9990
Pi,$0.6600
Monero,$213.17
Uniswap,$5.38
OKB,$52.35
Pepe,$0.057291
Aptos,$4.71
GateToken,$22.47
Ondo,$0.8678
NEAR Protocol,$2.09
Internet Computer,$4.91
Mantle,$0.6947
Ethereum Classic,$15.23
Cronos,$0.08503
Aave,$139.79
Bittensor,$238.25
VeChain,$0.02361
Kaspa,$0.07804
Render,$3.90
POL (prev. MATIC),$0.1844
Ethena,$0.2968
First Digital USD,$0.9977
Algorand,$0.1905
Filecoin,$2.49
Cosmos,$4.14
OFFICIAL TRUMP,$7.91
Celestia,$2.49
Sonic (prev. FTM),$0.5034
Arbitrum,$0.2915
KuCoin Token,$10.33
DeXe,$14.39
Maker,"$1,383.52"
XDC Network,$0.07336
Artificial Superintelligence Alliance,$0.4734
Story,$4.15
Optimism,$0.6537
Jupiter,$0.3798
Bonk,$0.00001301
Flare,$0.01608
EOS,$0.6070
Worldcoin,$0.7367
Stacks,$0.6071
Sei,$0.1790
Fartcoin,$0.9081
PayPal USD,$0.9998
Quant,$66.58
Tether Gold,"$3,233.48"
Injective,$7.96
Curve DAO Token,$0.5892
The Graph,$0.07938
JasmyCoin,$0.01559
Four,$1.97
PAX Gold,"$3,241.71"
Immutable,$0.4102
Movement,$0.2923
Theta Network,$0.6783
Onyxcoin,$0.02015
Nexo,$1.02
The Sandbox,$0.2567
MANTRA,$0.6665
AB,$0.01202
Gala,$0.01458
Helium,$3.52
Lido DAO,$0.6965
Raydium,$2.12
BitTorrent [New],$0.066189
Kaia,$0.1012
IOTA,$0.1627
Walrus,$0.4521
Bitcoin SV,$28.02
Flow,$0.3508
PancakeSwap,$1.85
FLOKI,$0.00005537
Decentraland,$0.2718
Jito,$1.66
Ethereum Name Service,$14.50
